id,tick,wealth,profit,risk,utility
94,0,0,7710.370072694884,0.03841129255974404,0
18,0,0,2345.0103657127625,0.03238545863868866,0
40,0,0,6607.3755929041035,0.056613539676279745,0
30,0,0,4124.158520547235,0.03654634784800856,0
99,0,0,7822.537002300524,0.07091932738631357,0
83,0,0,8638.024621832406,0.09874629048952528,0
68,0,0,4990.636848050692,0.05250908200699594,0
57,0,0,9131.88788075603,0.026633130478433804,0
0,0,0,6746.832037277787,0.0715758254042147,0
42,0,0,9091.459683014109,0.06183516685904354,0
5,0,0,9632.855254439437,0.013907819871600446,0
92,0,0,4611.9363443322,0.021216706479218684,0
81,0,0,7590.628556577306,0.017466719113466405,0
61,0,0,6632.976055788066,0.022450249549375804,0
86,0,0,7563.734017995731,0.03795507450795057,0
63,0,0,9404.989646918431,0.05493950352554765,0
52,0,0,2408.2998555917384,0.083904251054558,0
9,0,0,4503.113880340839,0.054736255807975316,0
85,0,0,1024.0748765815943,0.08980899340279667,0
33,0,0,7457.94866076698,0.0520943257456204,0
20,0,0,6617.576337117474,0.022075379577832017,0
6,0,0,8940.792127790748,0.033516776503715144,0
17,0,0,5190.423336376268,0.014263338734667966,0
39,0,0,7546.393712141092,0.0326285309197573,0
15,0,0,8272.061903179321,0.054220203963121265,0
65,0,0,5836.340798918717,0.0721926045448234,0
79,0,0,5894.05413048158,0.08654992873660843,0
64,0,0,6972.695042663602,0.032564634404811395,0
49,0,0,9826.149300838031,0.08256703888752512,0
10,0,0,8407.613423289287,0.06491333953359375,0
38,0,0,4263.107401162801,0.07991581335620165,0
62,0,0,7059.842855720412,0.039031255755601464,0
29,0,0,1119.8639443265852,0.09544152992295028,0
51,0,0,5419.773591960525,0.034102830459438564,0
84,0,0,5187.084844750558,0.04061818032927725,0
13,0,0,1536.942475383087,0.07497639141005315,0
22,0,0,2713.216246660513,0.033960750758937445,0
8,0,0,7359.942894631179,0.09267953747376587,0
74,0,0,7137.63422779246,0.04773343157294385,0
56,0,0,8099.198149299253,0.043112868513658635,0
97,0,0,2318.410959220601,0.07507951232408668,0
70,0,0,6291.262423810556,0.06234459780091378,0
73,0,0,8214.806250249361,0.06157313382370727,0
25,0,0,7618.903555098915,0.09301445912900028,0
34,0,0,6305.172312252536,0.09740526255391081,0
72,0,0,2132.781691590527,0.05805898581706589,0
21,0,0,9179.810908571762,0.08663443845587737,0
60,0,0,5615.482813927604,0.0959216981089056,0
82,0,0,7725.722962524826,0.05268181371648146,0
31,0,0,2509.5216568543146,0.05314469216014072,0
2,0,0,7181.448180391852,0.07962662580507507,0
91,0,0,3426.6022831341766,0.06997565300805544,0
78,0,0,2120.4334819308656,0.0676576482890335,0
96,0,0,7220.89581858961,0.09231176964950775,0
3,0,0,9124.088223214614,0.020796429329468312,0
88,0,0,2878.178938810498,0.04082000626853171,0
59,0,0,1126.2271023081062,0.09467834198519334,0
37,0,0,4671.960452795489,0.018292041369494198,0
95,0,0,3048.0054113783012,0.028894776639752817,0
26,0,0,7941.2189454315585,0.06476774710291341,0
50,0,0,2203.262109393426,0.08415026168835558,0
11,0,0,3165.967055802377,0.062188970193583944,0
36,0,0,9594.829355958758,0.026697274536408334,0
12,0,0,5033.36185581155,0.08735124352577062,0
93,0,0,6570.499004694267,0.09668703913765427,0
23,0,0,5487.964896683077,0.02084909025083375,0
66,0,0,7308.2576191426315,0.04116269359083892,0
7,0,0,4886.147271298052,0.02962277418502219,0
90,0,0,8564.903070660965,0.07339261789807369,0
98,0,0,9802.80874943668,0.06607862372135363,0
4,0,0,2550.9639212752754,0.032357228518379653,0
